Name,Gender,Passed
Oliver,Female,Yes
Diana,Female,Yes
Alice,Female,No
Isabella,Female,Yes
Ian,Female,Yes
Hannah,Female,Yes
Hannah,Male,No
Ethan,Female,No
Isabella,Female,No
Diana,Male,No
Sophia,Male,No
Isabella,Female,Yes
Lucas,Female,Yes
Olivia,Male,No
Charlie,Female,No
Noah,Male,Yes
Nina,Male,No
Bob,Female,No
Alice,Female,Yes
Charlie,Female,No
George,Male,No
Hannah,Male,No
Liam,Male,No
Ava,Male,Yes
Alice,Male,No
Olivia,Female,Yes
George,Female,No
Elijah,Female,No
Oliver,Male,No
Elijah,Male,Yes
Olivia,Female,No
Nina,Female,No
Hannah,Female,No
Oscar,Female,Yes
Noah,Male,No
Ian,Female,Yes
Mia,Male,Yes
Charlotte,Female,No
Alice,Male,Yes
James,Male,Yes
Mia,Female,No
Fiona,Female,Yes
Elijah,Male,No
Nina,Female,Yes
Kevin,Female,Yes
Ian,Female,No
Ethan,Female,No
George,Female,No
James,Female,Yes
Kevin,Male,No
Diana,Male,No
Charlie,Male,No
Michael,Female,No
Diana,Male,No
Laura,Female,No
Charlotte,Female,No
Laura,Male,Yes
Ava,Female,No
Ian,Male,Yes
Mia,Male,Yes
Bob,Male,No
Isabella,Male,Yes
Oscar,Male,Yes
Olivia,Male,Yes
Diana,Female,Yes
Amelia,Female,Yes
Michael,Male,Yes
Charlie,Female,Yes
Olivia,Female,Yes
Julia,Female,Yes
Benjamin,Male,Yes
Oliver,Female,No
Ava,Female,Yes
Lucas,Male,Yes
Charlotte,Female,No
Laura,Female,No
Noah,Female,No
George,Female,Yes
Elijah,Female,Yes
Charlie,Female,Yes
Bob,Female,No
Sophia,Male,Yes
Hannah,Female,Yes
James,Female,No
Julia,Female,No
Charlie,Female,No
Charlotte,Male,Yes
Hannah,Male,Yes
Charlotte,Male,Yes
Diana,Female,Yes
Michael,Male,No
Ian,Female,Yes
Oscar,Male,Yes
Oliver,Male,No
Benjamin,Female,No
Laura,Male,No
Fiona,Male,Yes
Laura,Male,No
Laura,Female,Yes
George,Female,No
Sophia,Male,No
Ian,Female,Yes
Elijah,Female,No
Amelia,Female,No
Sophia,Male,No
Oliver,Female,Yes
Charlie,Male,No
Ava,Female,Yes
Oliver,Female,No
Fiona,Male,No
Olivia,Male,No
Isabella,Female,No
Hannah,Male,No
Fiona,Male,No
Oscar,Female,Yes
Michael,Male,Yes
Ian,Female,No
Amelia,Female,No
Oliver,Male,Yes
Elijah,Female,No
Olivia,Female,No
Hannah,Female,No
Sophia,Male,Yes
Kevin,Male,No
Benjamin,Female,No
James,Male,Yes
James,Female,No
Bob,Male,Yes
Hannah,Male,No
Benjamin,Male,No
Bob,Female,No
Mia,Female,No
Kevin,Male,No
Michael,Male,Yes
Ian,Female,Yes
Charlie,Female,Yes
George,Male,Yes
Amelia,Female,No
Noah,Male,No
Lucas,Female,Yes
Elijah,Male,No
Kevin,Male,No
George,Female,No
Oliver,Female,Yes
Emma,Female,Yes
Michael,Female,No
Lucas,Female,Yes
Amelia,Male,No
Oliver,Female,Yes
Oscar,Male,No
Ethan,Female,No
Ian,Female,No
Ethan,Male,No
Hannah,Male,No
Isabella,Female,No
Olivia,Male,No
Olivia,Female,No
Ian,Female,No
Isabella,Female,No
Noah,Male,No
Nina,Male,Yes
Lucas,Female,Yes
Noah,Female,Yes
Michael,Female,No
Laura,Female,Yes
Hannah,Male,Yes
Ethan,Female,Yes
Liam,Female,Yes
Emma,Male,No
Charlie,Male,No
James,Female,No
Bob,Male,Yes
Charlotte,Female,Yes
Diana,Female,No
Ethan,Male,Yes
Oliver,Female,No
Fiona,Male,Yes
Mia,Female,No
Sophia,Female,Yes
Nina,Male,Yes
Ava,Male,No
Charlie,Male,Yes
Michael,Female,Yes
Michael,Female,No
Ava,Female,Yes
Oscar,Female,No
Liam,Male,Yes
Ian,Male,Yes
Olivia,Male,No
Charlotte,Female,No
Alice,Male,No
Sophia,Male,No
Isabella,Male,No
Diana,Male,Yes
Sophia,Female,Yes
Lucas,Female,No
Olivia,Male,No
James,Female,Yes
Ian,Male,Yes
James,Female,No
Oliver,Female,No
Kevin,Male,Yes
Diana,Male,Yes
Julia,Male,Yes
Nina,Male,Yes
Fiona,Female,No
Oscar,Male,Yes
Alice,Female,Yes
Isabella,Male,Yes
Lucas,Female,No
Isabella,Male,Yes
Ian,Female,No
Liam,Female,No
James,Male,No
Fiona,Male,No
Liam,Female,No
Amelia,Male,No
Diana,Male,Yes
Charlotte,Female,Yes
Oliver,Male,Yes
Julia,Male,Yes
Benjamin,Male,No
Oliver,Male,Yes
Liam,Male,Yes
Ava,Male,Yes
George,Female,Yes
Ethan,Female,Yes
Laura,Male,Yes
James,Male,Yes
Fiona,Female,No
Olivia,Male,No
James,Male,No
Amelia,Female,No
Liam,Male,Yes
Amelia,Male,Yes
Alice,Female,No
Ava,Male,No
Kevin,Male,No
Emma,Male,Yes
Alice,Male,Yes
Diana,Male,No
Amelia,Female,Yes
Laura,Male,No
Lucas,Female,Yes
Benjamin,Female,Yes
Mia,Male,Yes
Julia,Male,No
Hannah,Female,Yes
Bob,Female,Yes
Hannah,Male,Yes
Lucas,Female,Yes
Noah,Female,No
Charlie,Female,No
Charlie,Female,No
Isabella,Female,Yes
Emma,Female,No
Benjamin,Male,No
Charlie,Female,No
James,Male,No
Olivia,Male,No
James,Female,No
Ethan,Male,Yes
Ethan,Male,Yes
Sophia,Male,No
Emma,Female,No
Olivia,Female,No
Fiona,Female,Yes
Ian,Female,Yes
Liam,Male,Yes
Charlotte,Female,Yes
Ava,Female,No
Nina,Male,Yes
George,Female,Yes
Amelia,Female,No
Olivia,Female,No
James,Male,No
Isabella,Female,Yes
Elijah,Male,No
George,Male,No
Elijah,Male,Yes
Julia,Male,No
Michael,Male,No
Sophia,Female,No
Oliver,Male,No
Laura,Male,No
Oscar,Male,Yes
Lucas,Female,Yes
Liam,Male,No
Oscar,Male,No
Diana,Female,No
Hannah,Male,No
Hannah,Male,No
Charlie,Female,Yes
Kevin,Male,No
Alice,Female,Yes
Noah,Male,No
Olivia,Male,No
Hannah,Male,No
Noah,Female,Yes
Hannah,Female,No
