Name,Gender,Passed
Oliver,Female,Yes
Diana,Female,Yes
Alice,Female,No
Isabella,Female,Yes
Ian,Female,Yes
Hannah,Female,Yes
Hannah,Male,No
Ethan,Female,No
Isabella,Female,No
Diana,Male,No
Sophia,Male,No
Isabella,Female,Yes
Lucas,Female,Yes
Olivia,Male,No
Charlie,Female,No
Noah,Male,Yes
Nina,Male,No
Bob,Female,No
Alice,Female,Yes
Charlie,Female,No
George,Male,No
Hannah,Male,No
Liam,Male,No
Ava,Male,Yes
Alice,Male,No
Olivia,Female,Yes
George,Female,No
Elijah,Female,No
Oliver,Male,No
Elijah,Male,Yes

